Country Name,Country Code,Indicator Name,2014,2015,2016,2017,2018,2019,2020
Thailand,THA,"Literacy rate, adult total (% of people ages 15 and above)",,92.86830902,,,93.76776123,,
Tajikistan,TJK,"Literacy rate, adult total (% of people ages 15 and above)",99.80000305,,,,,,
Turkmenistan,TKM,"Literacy rate, adult total (% of people ages 15 and above)",99.69999695,,,,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Literacy rate, adult total (% of people ages 15 and above)",92.80142212,92.9957962,93.47264099,93.59078217,93.7561264,94.19448853,
Timor-Leste,TLS,"Literacy rate, adult total (% of people ages 15 and above)",,,,,68.0668335,,
Middle East & North Africa (IDA & IBRD countries),TMN,"Literacy rate, adult total (% of people ages 15 and above)",78.60375977,76.40354156,77.60456848,78.83197784,75.72257996,76.09990692,
Tonga,TON,"Literacy rate, adult total (% of people ages 15 and above)",,,,,99.41436768,,
South Asia (IDA & IBRD),TSA,"Literacy rate, adult total (% of people ages 15 and above)",68.73478699,69.65734863,70.9991684,71.69515228,72.24388123,72.95144653,
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Literacy rate, adult total (% of people ages 15 and above)",62.95409012,63.54935837,64.25765991,64.51748657,65.03897858,65.46861267,
Trinidad and Tobago,TTO,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Tunisia,TUN,"Literacy rate, adult total (% of people ages 15 and above)",79.03643036,,,,,,
Turkey,TUR,"Literacy rate, adult total (% of people ages 15 and above)",95.4396286,95.60141754,96.16732788,96.15052795,,,
Tuvalu,TUV,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Tanzania,TZA,"Literacy rate, adult total (% of people ages 15 and above)",,77.88722992,,,,,
Uganda,UGA,"Literacy rate, adult total (% of people ages 15 and above)",,,,,76.52749634,,
Ukraine,UKR,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Upper middle income,UMC,"Literacy rate, adult total (% of people ages 15 and above)",95.25861359,95.099617,95.62375641,95.67085266,95.45144653,95.64833832,
Uruguay,URY,"Literacy rate, adult total (% of people ages 15 and above)",98.43592834,98.52387238,98.56147003,98.61572266,98.70385742,,
United States,USA,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Uzbekistan,UZB,"Literacy rate, adult total (% of people ages 15 and above)",99.98055267,99.98383331,99.98657227,,99.9928894,,
St. Vincent and the Grenadines,VCT,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
"Venezuela, RB",VEN,"Literacy rate, adult total (% of people ages 15 and above)",,96.60521698,97.12709045,,,,
British Virgin Islands,VGB,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Virgin Islands (U.S.),VIR,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Vietnam,VNM,"Literacy rate, adult total (% of people ages 15 and above)",,,,,95.00038147,,
Vanuatu,VUT,"Literacy rate, adult total (% of people ages 15 and above)",84.69999695,,,,87.50630951,,
World,WLD,"Literacy rate, adult total (% of people ages 15 and above)",85.36060333,85.54232025,85.98551178,86.22016144,86.24694061,86.478302,
Samoa,WSM,"Literacy rate, adult total (% of people ages 15 and above)",,,,,99.09577179,,
Kosovo,XKX,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
"Yemen, Rep.",YEM,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
South Africa,ZAF,"Literacy rate, adult total (% of people ages 15 and above)",94.13990021,94.36791992,,87.04666901,,,
Zambia,ZMB,"Literacy rate, adult total (% of people ages 15 and above)",,,,,86.74796295,,
Zimbabwe,ZWE,"Literacy rate, adult total (% of people ages 15 and above)",88.69342041,,,,,,
